tenant_history_id,property_id,locality,bhk,monthly_rent,lease_start_date,lease_end_date,occupancy_status,tenant_name,created_at
TH1017,PROP1142,Faridabad Sector 81,4,19500,2025-10-13,2026-09-13,VACANT,Priya Rastogi,2024-08-21 05:02:57
TH1018,PROP1157,Gurgaon Sector 56,4,44200,2026-07-17,2028-05-17,OCCUPIED,Yashodhara Tak,2023-10-29 04:11:51
TH1019,PROP1480,Faridabad Neharpar,3,14800,2023-09-10,2024-08-10,OCCUPIED,Michael Dutta,2025-12-05 11:03:37
TH1020,PROP1118,Noida Sector 150,3,27900,2024-10-25,2026-08-25,OCCUPIED,Lekha Raj,2025-05-04 11:46:20
TH1021,PROP1004,Preet Vihar,2,21000,2024-12-14,2025-11-14,VACANT,Advay Contractor,2025-08-06 12:39:21
TH1022,PROP1306,Faridabad Sector 81,2,11000,2025-02-27,2026-01-27,OCCUPIED,Harini Choudhury,2024-06-07 03:46:57
TH1023,PROP1798,Faridabad Neharpar,1,6300,2024-01-10,2025-11-10,OCCUPIED,Adya Tella,2025-11-02 11:03:38
TH1024,PROP1952,West Delhi,3,22300,2025-01-26,2025-12-26,VACANT,Chanchal Tripathi,2025-05-18 19:47:15
TH1025,PROP1970,Gurgaon Golf Course Road,1,30900,2024-01-04,2024-12-04,NOTICE_PERIOD,Aadi Naik,2025-01-06 22:31:43
TH1026,PROP1546,Central Delhi,2,43600,2023-11-20,2024-10-20,OCCUPIED,Damyanti Khatri,2023-09-23 00:48:06
TH1027,PROP1894,Greater Noida Pari Chowk,2,12100,2026-03-08,2027-02-08,OCCUPIED,Frederick Sunder,2025-12-31 16:43:10
TH1028,PROP1409,West Delhi,4,33500,2026-06-25,2028-04-25,OCCUPIED,Kabir Soman,2026-05-24 01:04:20
TH1029,PROP1231,Lajpat Nagar,3,37200,2024-01-17,2024-12-17,OCCUPIED,Siddharth Zacharia,2025-10-26 02:56:52
TH1030,PROP1008,Lajpat Nagar,1,18200,2025-08-14,2026-07-14,VACANT,Mohini Prakash,2024-11-12 14:22:05
TH1031,PROP1073,Faridabad Sector 81,2,11400,2025-02-06,2026-12-06,OCCUPIED,Yug Kar,2023-09-29 17:14:03
TH1032,PROP1136,Ghaziabad Raj Nagar Extension,2,10700,2023-08-13,2025-06-13,OCCUPIED,Thomas Amble,2023-10-07 08:27:09
TH1033,PROP1100,Greater Noida Pari Chowk,3,15100,2025-06-11,2027-04-11,VACANT,Ekansh Balay,2026-02-17 11:36:01
TH1034,PROP1056,DLF Phase 5,1,25400,2023-10-06,2025-08-06,VACANT,Arya Sunder,2024-03-12 07:22:22
TH1035,PROP1112,Pitampura,2,21300,2023-12-12,2025-10-12,OCCUPIED,Xavier Solanki,2025-12-22 08:30:07
TH1036,PROP1188,Noida Sector 150,4,37200,2024-02-14,2025-01-14,OCCUPIED,Raagini Pandya,2024-10-27 16:29:35
TH1037,PROP1883,DLF Phase 5,1,26900,2024-12-13,2025-11-13,NOTICE_PERIOD,Guneet Bhat,2024-10-04 17:22:19
TH1038,PROP1949,Pitampura,2,22500,2024-07-26,2026-05-26,OCCUPIED,Yuvraj Handa,2024-02-14 23:30:15
TH1039,PROP1411,Hauz Khas,2,36900,2024-11-23,2026-09-23,OCCUPIED,Qadim Mallick,2024-12-09 11:23:14
TH1040,PROP1803,Ghaziabad Vasundhara,3,17900,2026-03-04,2028-01-04,OCCUPIED,Saanvi Chaudhari,2023-09-14 23:51:46
TH1041,PROP1304,Rohini Sector 10,1,13200,2026-07-19,2027-06-19,OCCUPIED,Girik Khalsa,2024-01-19 19:03:26
TH1042,PROP1059,Hauz Khas,4,68400,2025-01-02,2025-12-02,OCCUPIED,Nandini Bhargava,2024-01-17 23:02:09
TH1043,PROP1521,Gurgaon Golf Course Road,2,40300,2023-07-23,2024-06-23,OCCUPIED,Alka Sha,2024-05-29 02:48:22
TH1044,PROP1241,Noida Extension,1,10100,2025-08-21,2026-07-21,OCCUPIED,Mohammed Gupta,2024-06-10 16:08:10
TH1045,PROP1041,Gurgaon Golf Course Road,4,84100,2026-06-15,2028-04-15,NOTICE_PERIOD,Dipta Bhandari,2023-09-14 12:08:04
TH1046,PROP1210,Noida Sector 76,2,17000,2024-12-24,2025-11-24,OCCUPIED,Dakshesh Trivedi,2023-10-17 08:14:28
TH1047,PROP1308,Ghaziabad Vasundhara,3,20100,2024-02-09,2025-01-09,OCCUPIED,Wahab Raval,2023-11-29 22:13:09
TH1048,PROP1637,DLF Phase 5,1,26200,2026-03-21,2028-01-21,OCCUPIED,Balveer Bumb,2024-10-22 22:00:08
TH1049,PROP1358,Lajpat Nagar,2,29100,2025-04-20,2026-03-20,OCCUPIED,Advika Jayaraman,2025-07-24 09:29:56
TH1050,PROP1557,Noida Sector 62,1,13500,2024-06-29,2026-04-29,NOTICE_PERIOD,Meghana Deep,2025-07-26 13:09:12
TH1051,PROP1107,Central Delhi,3,53400,2024-06-13,2025-05-13,OCCUPIED,Elijah Andra,2024-12-04 17:11:24
TH1052,PROP1160,Noida Sector 150,3,31600,2026-07-18,2028-05-18,OCCUPIED,Ethan Yogi,2024-03-11 02:54:22
TH1053,PROP1650,Preet Vihar,4,35500,2024-05-06,2025-04-06,OCCUPIED,Ekapad Konda,2024-08-29 11:05:05
TH1054,PROP1434,Noida Sector 150,1,12600,2024-01-09,2024-12-09,OCCUPIED,Abhiram Mistry,2026-05-07 12:10:37
TH1055,PROP1269,Gurgaon Sector 56,4,43700,2023-11-11,2025-09-11,OCCUPIED,Aishani D’Alia,2026-03-22 10:33:06
TH1056,PROP1115,Lajpat Nagar,2,30300,2025-10-10,2027-08-10,OCCUPIED,Anita Manda,2025-05-14 06:54:24
TH1057,PROP1152,Greater Noida Pari Chowk,2,9800,2025-09-13,2027-07-13,VACANT,Aishani Tiwari,2025-01-06 20:35:11
TH1058,PROP1816,Saket,3,36500,2026-04-07,2027-03-07,OCCUPIED,George Sampath,2026-01-15 07:07:35
TH1059,PROP1363,Greater Noida,2,13200,2023-09-07,2024-08-07,VACANT,Kalpit Lala,2024-01-14 14:41:38
TH1060,PROP2000,Gurgaon Sector 45,4,35100,2024-11-15,2026-09-15,VACANT,Aditya Choudhury,2023-10-12 00:14:10
TH1061,PROP1422,Pitampura,3,29600,2026-03-14,2027-02-14,OCCUPIED,Balendra Pingle,2025-04-19 19:56:40
TH1062,PROP1040,Ghaziabad Raj Nagar Extension,2,9300,2023-12-30,2025-10-30,OCCUPIED,Benjamin Morar,2024-08-24 02:52:13
TH1063,PROP1841,Janakpuri,2,19500,2026-05-07,2027-04-07,OCCUPIED,Ishita Kade,2025-08-06 22:01:34
TH1064,PROP1286,Lajpat Nagar,3,40500,2025-07-20,2027-05-20,OCCUPIED,Niharika Dubey,2026-04-30 22:35:52
TH1065,PROP1864,North Delhi,1,9400,2024-04-05,2026-02-05,OCCUPIED,Peter Sachar,2023-08-17 17:20:29
TH1066,PROP1986,Preet Vihar,1,12400,2025-10-04,2027-08-04,OCCUPIED,Nisha Kothari,2024-05-08 21:47:31
TH1067,PROP1806,Noida Sector 76,4,33200,2025-11-29,2026-10-29,OCCUPIED,Lavanya Barad,2026-02-16 08:11:40
TH1068,PROP1591,Dwarka Sector 21,3,31200,2024-03-20,2026-01-20,OCCUPIED,Inaya Mody,2026-01-05 15:24:08
TH1069,PROP1948,Dwarka Sector 21,3,34400,2026-03-01,2028-01-01,OCCUPIED,Arjun Hans,2024-09-30 04:05:56
TH1070,PROP1680,Cyber City Gurgaon,3,49100,2024-05-21,2026-03-21,OCCUPIED,Arya Panchal,2025-06-23 10:45:08
TH1071,PROP1714,Noida Sector 18,2,24100,2024-09-30,2026-07-30,OCCUPIED,Ayaan D’Alia,2026-03-08 13:15:07
TH1072,PROP1925,Gurgaon Sector 45,3,30100,2024-05-02,2025-04-02,OCCUPIED,Balvan Chopra,2025-05-05 05:43:43
TH1073,PROP1216,Greater Noida Pari Chowk,3,15300,2024-08-02,2026-06-02,OCCUPIED,Rajata Vaidya,2023-11-25 06:41:49
TH1074,PROP1524,Ghaziabad Raj Nagar Extension,2,10400,2026-03-31,2028-01-31,OCCUPIED,Aachal Basu,2025-09-05 04:39:09
TH1075,PROP1649,North Delhi,1,11200,2023-07-22,2024-06-22,OCCUPIED,Januja Sankar,2023-10-06 05:38:54
TH1076,PROP1231,Dwarka Sector 21,2,22100,2025-07-17,2026-06-17,NOTICE_PERIOD,Dipta Dash,2025-09-17 05:06:24
TH1077,PROP1626,Lajpat Nagar,4,52900,2024-06-13,2025-05-13,OCCUPIED,Nilima Narain,2024-10-04 11:33:47
TH1078,PROP1394,Faridabad Sector 15,4,23700,2024-06-08,2025-05-08,VACANT,Rehaan Salvi,2025-07-19 03:21:46
TH1079,PROP1882,DLF Phase 5,4,67100,2024-09-08,2026-07-08,OCCUPIED,Charvi Ravi,2025-03-12 22:47:08
TH1080,PROP1256,Cyber City Gurgaon,4,57500,2023-07-21,2025-05-21,OCCUPIED,Shivansh Sani,2025-11-28 12:50:50
TH1081,PROP1573,Noida Sector 76,4,33300,2025-05-15,2027-03-15,VACANT,Udyati Sathe,2024-11-17 01:07:39
TH1082,PROP1562,Ghaziabad Indirapuram,2,15900,2024-03-11,2026-01-11,OCCUPIED,Omkaar Chad,2024-05-27 12:20:16
TH1083,PROP1770,Pitampura,3,34300,2025-07-16,2027-05-16,OCCUPIED,Girik Keer,2025-07-27 18:13:25
TH1084,PROP1282,Ghaziabad Indirapuram,1,10200,2024-03-22,2025-02-22,OCCUPIED,Manan Bakshi,2023-09-10 04:49:21
TH1085,PROP1328,Gurgaon Golf Course Road,2,41200,2026-07-02,2028-05-02,OCCUPIED,Tamanna Sachdeva,2026-03-18 12:31:04
TH1086,PROP1724,Rohini Sector 10,1,12700,2025-04-11,2027-02-11,OCCUPIED,Warda Ratta,2024-04-13 21:39:16
TH1087,PROP1426,Hauz Khas,2,41000,2025-07-08,2027-05-08,VACANT,Hredhaan Sandal,2024-03-17 08:27:14
TH1088,PROP1599,Vasant Kunj,4,57300,2025-12-17,2027-10-17,OCCUPIED,Chandresh Krish,2026-04-21 20:29:36
TH1089,PROP1400,Greater Noida,2,12000,2023-11-30,2025-09-30,OCCUPIED,Ucchal Wali,2026-07-08 00:24:43
TH1090,PROP1030,Sohna Road Gurgaon,3,26200,2025-05-03,2027-03-03,OCCUPIED,Yamini Sandhu,2026-01-16 15:14:15
TH1091,PROP1861,Ghaziabad Vasundhara,2,14500,2025-03-11,2026-02-11,VACANT,Vaishnavi Sengupta,2024-04-30 13:33:36
TH1092,PROP1607,Vasant Kunj,1,21500,2024-04-16,2025-03-16,VACANT,Vedhika Khare,2024-05-17 10:41:36
TH1093,PROP1187,Hauz Khas,3,51700,2023-10-13,2024-09-13,OCCUPIED,Wahab Magar,2024-07-23 13:24:15
TH1094,PROP1346,Sohna Road Gurgaon,3,26700,2026-03-24,2028-01-24,OCCUPIED,Lakshit Dora,2024-03-30 23:04:31
TH1095,PROP1084,Ghaziabad Raj Nagar Extension,1,6900,2025-08-18,2026-07-18,NOTICE_PERIOD,Devansh Sachdeva,2024-10-10 04:16:56
TH1096,PROP1359,Janakpuri,1,15300,2025-03-06,2026-02-06,VACANT,David Jhaveri,2026-01-19 04:17:59
TH1097,PROP1973,Pitampura,2,24900,2024-09-19,2025-08-19,OCCUPIED,Lajita Sood,2023-07-28 00:34:42
TH1098,PROP1485,Cyber City Gurgaon,2,34700,2024-08-09,2026-06-09,VACANT,Oni Yohannan,2025-10-17 15:09:22
TH1099,PROP1172,Cyber City Gurgaon,2,38900,2025-03-10,2026-02-10,OCCUPIED,Vinaya Kanda,2024-05-15 14:59:01
TH1100,PROP1952,Noida Sector 62,4,35100,2025-01-02,2025-12-02,OCCUPIED,Gayathri Ravel,2025-09-22 01:31:40
TH1101,PROP1708,Pitampura,1,15700,2026-01-26,2027-11-26,VACANT,Avi Ramesh,2025-04-30 02:41:51
TH1102,PROP1615,Cyber City Gurgaon,1,21900,2025-07-15,2027-05-15,OCCUPIED,Priya Deshmukh,2026-02-25 09:21:37
TH1103,PROP1071,Faridabad Sector 81,3,14800,2024-02-04,2025-12-04,VACANT,Ladli Narang,2024-03-09 11:37:02
TH1104,PROP1109,Greater Noida Pari Chowk,3,15900,2024-07-12,2026-05-12,OCCUPIED,Arunima Sama,2024-04-22 23:34:57
TH1105,PROP1446,Gurgaon Sector 45,3,31700,2023-10-18,2025-08-18,OCCUPIED,Charles Palla,2024-03-23 05:57:38
TH1106,PROP1846,Noida Sector 150,3,33400,2023-10-04,2024-09-04,OCCUPIED,Azaan Kota,2024-02-25 00:10:16
TH1107,PROP1462,Pitampura,4,42100,2023-08-12,2025-06-12,OCCUPIED,William Date,2024-12-21 10:53:43
TH1108,PROP1507,Noida Sector 76,2,17900,2023-11-23,2025-09-23,VACANT,Udyati Kunda,2025-11-07 20:51:41
TH1109,PROP1349,Noida Sector 150,3,31200,2024-01-20,2024-12-20,OCCUPIED,Nihal Mukhopadhyay,2023-11-17 00:13:50
TH1110,PROP1738,Greater Noida,4,21900,2023-08-18,2024-07-18,OCCUPIED,Keya Ranganathan,2026-05-18 03:38:36
TH1111,PROP1662,Faridabad Sector 15,4,27000,2024-02-23,2025-01-23,OCCUPIED,Harsh Mitra,2026-02-07 05:55:36
TH1112,PROP1415,Pitampura,3,33500,2025-05-08,2027-03-08,OCCUPIED,Benjamin Palan,2025-02-24 07:16:42
TH1113,PROP1544,East Delhi,4,30200,2025-07-14,2027-05-14,OCCUPIED,Yashawini Om,2023-08-04 10:14:40
TH1114,PROP1465,Noida Sector 150,3,29000,2024-10-22,2025-09-22,OCCUPIED,Hitesh Sant,2026-06-08 07:37:37
TH1115,PROP1324,Cyber City Gurgaon,2,32400,2025-06-15,2027-04-15,OCCUPIED,Michael Saran,2024-01-30 13:27:01
TH1116,PROP1604,Faridabad Neharpar,3,14800,2025-02-11,2026-01-11,OCCUPIED,Veda Shroff,2024-11-09 19:57:06
TH1117,PROP1370,Gurgaon Sector 45,3,27200,2025-09-28,2026-08-28,OCCUPIED,Ekantika Korpal,2026-01-16 19:29:37
TH1118,PROP1998,Hauz Khas,3,55700,2023-10-23,2024-09-23,OCCUPIED,Yagnesh Shetty,2025-04-05 23:01:23
TH1119,PROP1771,Faridabad Sector 15,1,9900,2025-07-21,2027-05-21,OCCUPIED,Ayush Talwar,2026-02-07 23:16:21
TH1120,PROP1452,North Delhi,2,17800,2024-02-05,2025-12-05,NOTICE_PERIOD,Isha Kuruvilla,2024-07-28 11:30:48
TH1121,PROP1490,Cyber City Gurgaon,1,22200,2026-03-10,2027-02-10,OCCUPIED,Advaith Varughese,2026-05-25 08:59:40
TH1122,PROP1703,Hauz Khas,2,34800,2023-10-22,2025-08-22,OCCUPIED,Vrinda Khosla,2025-08-16 06:40:28
TH1123,PROP1255,Cyber City Gurgaon,4,64600,2025-06-27,2026-05-27,VACANT,Sara Badal,2023-10-31 12:34:39
TH1124,PROP1390,Ghaziabad Indirapuram,4,25700,2024-03-19,2026-01-19,OCCUPIED,Damini Pillay,2024-12-21 02:59:27
TH1125,PROP1636,Hauz Khas,1,27400,2025-02-21,2026-01-21,OCCUPIED,Ganga Pandey,2025-08-29 16:42:02
TH1126,PROP1271,Gurgaon Golf Course Road,2,42200,2024-05-12,2025-04-12,OCCUPIED,Vihaan Dara,2025-09-18 21:20:36
TH1127,PROP1419,Ghaziabad Indirapuram,4,25600,2024-06-30,2025-05-30,OCCUPIED,Rehaan Kalita,2025-10-07 20:49:15
TH1128,PROP1290,Ghaziabad Vasundhara,1,8800,2024-05-18,2026-03-18,VACANT,Harish Hari,2024-06-10 04:00:13
TH1129,PROP1641,Dwarka Sector 21,4,40800,2024-08-19,2025-07-19,OCCUPIED,Akshay Walla,2023-12-07 06:18:54
TH1130,PROP1931,Noida Sector 150,2,19700,2023-09-08,2024-08-08,VACANT,Brinda Date,2025-06-19 11:45:51
TH1131,PROP1610,Noida Sector 18,4,42600,2025-10-22,2027-08-22,OCCUPIED,Advik Mane,2024-12-16 21:23:25
TH1132,PROP1966,Noida Sector 150,4,39000,2024-11-14,2025-10-14,VACANT,Charan Krishnan,2026-05-17 16:56:25
TH1133,PROP1753,Noida Sector 76,3,22300,2024-12-25,2025-11-25,NOTICE_PERIOD,Nandini Swamy,2023-10-10 17:41:13
TH1134,PROP1857,Vasant Kunj,3,45600,2025-06-09,2026-05-09,OCCUPIED,Max Dixit,2025-12-26 08:21:28
TH1135,PROP1668,Ghaziabad Indirapuram,3,19400,2026-05-25,2028-03-25,OCCUPIED,Yuvraj Dani,2025-03-24 01:19:49
TH1136,PROP1504,Gurgaon Golf Course Road,4,78000,2024-10-18,2026-08-18,OCCUPIED,Lajita Seshadri,2026-04-12 00:43:17
TH1137,PROP1108,Gurgaon Sector 56,3,32900,2024-06-10,2026-04-10,OCCUPIED,Dalaja Bhasin,2025-05-19 13:09:44
TH1138,PROP1968,Noida Extension,1,9000,2025-10-08,2027-08-08,OCCUPIED,Siddharth Lalla,2025-07-14 04:59:28
TH1139,PROP1119,Noida Extension,1,9400,2024-01-08,2025-11-08,OCCUPIED,Falan Dugar,2023-07-24 11:53:30
TH1140,PROP1193,Faridabad Neharpar,3,13700,2024-11-25,2026-09-25,OCCUPIED,Bishakha Bali,2024-03-31 04:43:22
TH1141,PROP1779,Hauz Khas,2,35900,2025-09-02,2026-08-02,VACANT,Ekavir Kaur,2026-04-28 21:52:29
TH1142,PROP1449,Faridabad Sector 15,1,8100,2025-11-29,2026-10-29,OCCUPIED,Pavani Contractor,2025-03-09 06:02:12
TH1143,PROP1319,South Delhi,4,56800,2025-06-29,2026-05-29,OCCUPIED,Lucky Bora,2023-09-24 21:50:44
TH1144,PROP1121,Golf Course Extension Road,4,55600,2025-12-04,2027-10-04,OCCUPIED,Reva Dash,2024-12-16 03:00:33
TH1145,PROP1280,Greater Noida,4,24100,2024-06-17,2025-05-17,OCCUPIED,Anita Tella,2025-03-04 05:34:25
TH1146,PROP1149,Sohna Road Gurgaon,2,19800,2024-11-11,2025-10-11,VACANT,Rachana Naidu,2025-05-13 01:33:14
TH1147,PROP1283,Greater Noida,3,18600,2023-08-18,2025-06-18,VACANT,Ansh Luthra,2025-04-12 23:15:20
TH1148,PROP1290,Noida Sector 62,4,39200,2025-11-02,2027-09-02,OCCUPIED,Upma Venkataraman,2025-07-04 10:27:17
TH1149,PROP1354,North Delhi,4,28500,2026-04-19,2028-02-19,VACANT,Rajata Swamy,2026-06-17 09:02:39
TH1150,PROP1715,Pitampura,4,38800,2024-12-16,2026-10-16,OCCUPIED,Gauri Nagi,2025-07-24 20:12:57
TH1151,PROP1763,Ghaziabad Raj Nagar Extension,4,17500,2026-02-14,2027-01-14,OCCUPIED,Nisha Tandon,2024-06-01 08:52:17
TH1152,PROP1038,Central Delhi,3,64000,2026-05-20,2028-03-20,OCCUPIED,Suhani Chakrabarti,2024-06-30 04:28:23
TH1153,PROP1933,Ghaziabad Vasundhara,1,8900,2024-07-08,2026-05-08,VACANT,Yoshita Agarwal,2025-07-11 04:12:24
TH1154,PROP1994,Golf Course Extension Road,1,18100,2025-03-06,2027-01-06,OCCUPIED,Chatura Guha,2025-02-08 15:04:24
TH1155,PROP1710,Noida Extension,1,9900,2025-06-01,2027-04-01,NOTICE_PERIOD,Riya Behl,2024-02-29 14:33:19
TH1156,PROP1642,Faridabad Sector 15,1,9400,2025-03-13,2026-02-13,OCCUPIED,Raksha Sundaram,2023-12-01 14:42:11
TH1157,PROP1944,Noida Sector 18,2,27500,2026-06-20,2028-04-20,NOTICE_PERIOD,Nathan Mukhopadhyay,2025-03-16 03:05:42
TH1158,PROP1779,DLF Phase 5,4,66200,2025-03-16,2027-01-16,VACANT,Umang Comar,2024-12-08 04:21:07
TH1159,PROP1048,Noida Sector 76,1,11100,2023-11-26,2025-09-26,OCCUPIED,Wishi Manne,2025-01-29 03:28:38
TH1160,PROP1251,Faridabad Neharpar,4,17400,2024-05-15,2025-04-15,OCCUPIED,Urmi Kohli,2024-12-03 01:46:09
TH1161,PROP1081,Sohna Road Gurgaon,2,18000,2023-12-26,2024-11-26,OCCUPIED,Yashoda Deshpande,2026-02-22 07:05:08
TH1162,PROP1654,Preet Vihar,4,35600,2024-05-18,2025-04-18,VACANT,Harini Tripathi,2024-05-09 07:26:30
TH1163,PROP1477,Noida Sector 18,2,23300,2023-07-23,2025-05-23,NOTICE_PERIOD,Vrishti Dixit,2024-11-21 20:30:33
TH1164,PROP1307,Greater Noida Pari Chowk,3,15200,2025-01-01,2026-11-01,OCCUPIED,Krishna Shah,2026-05-08 17:00:16
TH1165,PROP1394,Ghaziabad Raj Nagar Extension,1,6100,2026-02-27,2027-12-27,OCCUPIED,Leela Kaur,2026-02-13 12:20:25
TH1166,PROP1717,Noida Sector 18,1,18800,2024-10-12,2026-08-12,OCCUPIED,Urvashi Raj,2024-09-16 14:20:54
TH1167,PROP1580,Hauz Khas,4,73900,2025-07-16,2027-05-16,VACANT,Warhi Bansal,2023-12-06 21:27:39
TH1168,PROP1236,East Delhi,2,15500,2026-06-12,2028-04-12,OCCUPIED,Harish Sarraf,2023-11-07 19:40:26
TH1169,PROP1739,Central Delhi,1,29900,2026-04-12,2027-03-12,OCCUPIED,Maanas Rout,2026-03-01 20:41:44
TH1170,PROP1452,Saket,3,41400,2026-06-17,2027-05-17,VACANT,Upasna Lanka,2024-07-26 12:46:01
TH1171,PROP1335,Greater Noida,2,11100,2025-08-17,2027-06-17,OCCUPIED,Falguni Walla,2024-09-09 22:44:27
TH1172,PROP1936,Noida Sector 150,2,20700,2024-07-01,2026-05-01,NOTICE_PERIOD,Balendra Biswas,2024-04-03 19:20:46
TH1173,PROP1303,North Delhi,1,10300,2025-08-08,2026-07-08,OCCUPIED,Utkarsh Chana,2024-11-08 01:47:48
TH1174,PROP1990,Janakpuri,4,44000,2023-11-05,2025-09-05,OCCUPIED,Sachi Ganesan,2025-08-19 23:52:13
TH1175,PROP1405,South Delhi,3,49400,2026-04-05,2028-02-05,OCCUPIED,Ekta Bhalla,2024-06-07 00:18:07
TH1176,PROP1767,Preet Vihar,4,40700,2024-09-03,2026-07-03,OCCUPIED,Yash Wali,2024-10-15 01:22:03
TH1177,PROP1240,Ghaziabad Raj Nagar Extension,1,6700,2025-08-05,2027-06-05,VACANT,Onkar Gill,2023-10-16 02:10:49
TH1178,PROP1227,Lajpat Nagar,4,59300,2026-02-28,2027-12-28,OCCUPIED,Widisha Dhar,2024-03-31 23:27:07
TH1179,PROP1120,Central Delhi,1,30200,2025-06-18,2027-04-18,NOTICE_PERIOD,Aadhya Andra,2026-04-01 12:22:36
TH1180,PROP1119,DLF Phase 5,2,43700,2024-12-11,2025-11-11,OCCUPIED,Nakul Borah,2024-11-16 13:49:09
TH1181,PROP1380,Greater Noida,2,13100,2024-08-02,2025-07-02,VACANT,Panini Krishna,2024-12-03 03:04:00
TH1182,PROP1631,Greater Noida,3,14900,2024-06-15,2026-04-15,OCCUPIED,Vasudha Chhabra,2024-04-06 11:23:32
TH1183,PROP1456,Pitampura,3,29100,2025-04-07,2027-02-07,OCCUPIED,Chakrika Bains,2026-06-27 02:48:26
TH1184,PROP1661,East Delhi,1,9500,2025-07-10,2026-06-10,NOTICE_PERIOD,Abhiram Bawa,2026-04-14 08:16:35
TH1185,PROP1972,Ghaziabad Vasundhara,1,8800,2025-10-13,2026-09-13,OCCUPIED,Victor Pandey,2024-03-17 12:45:04
TH1186,PROP1342,Pitampura,2,24600,2024-02-14,2025-01-14,OCCUPIED,Laksh Chatterjee,2026-04-06 10:35:15
TH1187,PROP1784,Rohini Sector 10,2,21500,2025-06-27,2026-05-27,OCCUPIED,Ridhi Bandi,2025-04-16 14:44:31
TH1188,PROP1152,South Delhi,3,53200,2025-09-29,2026-08-29,NOTICE_PERIOD,Chakrika Narain,2025-10-17 14:14:27
TH1189,PROP1554,Preet Vihar,2,19000,2024-01-29,2024-12-29,OCCUPIED,Jasmit Wali,2025-01-21 09:21:53
TH1190,PROP1367,Pitampura,3,28500,2024-05-14,2026-03-14,OCCUPIED,Aarini Subramaniam,2026-06-15 13:05:50
TH1191,PROP1760,Greater Noida,1,8300,2024-06-08,2026-04-08,OCCUPIED,Ishwar Sidhu,2026-06-10 15:00:07
TH1192,PROP1371,Faridabad Sector 81,1,7700,2023-12-22,2024-11-22,NOTICE_PERIOD,Mekhala Pau,2023-10-28 12:14:51
TH1193,PROP1045,Faridabad Neharpar,3,13200,2024-09-25,2025-08-25,OCCUPIED,Jatin Sha,2024-08-28 10:19:39
TH1194,PROP1491,Noida Extension,4,26300,2025-10-18,2027-08-18,OCCUPIED,Lakshmi Prabhu,2023-11-17 06:44:07
TH1195,PROP1455,Lajpat Nagar,1,18700,2024-04-02,2025-03-02,OCCUPIED,Falak Kant,2025-06-30 05:01:24
TH1196,PROP1282,Noida Sector 76,4,36200,2025-06-15,2027-04-15,OCCUPIED,Chasmum Rege,2023-11-26 09:47:14
TH1197,PROP1620,Greater Noida Pari Chowk,1,7700,2023-09-08,2024-08-08,VACANT,Daksha Tailor,2023-11-25 19:10:49
TH1198,PROP1667,Rohini Sector 10,4,35600,2024-04-03,2025-03-03,OCCUPIED,Lipika Setty,2024-08-31 02:07:16
TH1199,PROP1848,Ghaziabad Vasundhara,4,22900,2026-05-25,2027-04-25,OCCUPIED,Mohammed Sachdeva,2025-07-08 04:11:31
