visit_id,property_id,owner_id,user_name,user_email,user_phone,scheduled_time,status,notes,created_at
VST1016,PROP1611,OWN1240,Simon Tata,simontata42@outlook.com,+91-911540956,2026-07-14 06:30 PM,COMPLETED,Needs confirmation from owner regarding pets.,2026-07-21 06:48:57
VST1017,PROP1907,OWN1275,Luke Lanka,lukelanka92@yahoo.co.in,+91-824972279,2026-06-29 02:00 PM,PENDING,Requested callback prior to arrival.,2026-07-21 06:48:37
VST1018,PROP1004,OWN1135,Priya Rastogi,priyarastogi32@outlook.com,+91-924282218,2026-07-12 06:30 PM,CONFIRMED,Needs confirmation from owner regarding pets.,2026-07-21 06:49:07
VST1019,PROP1520,OWN1102,Yashodhara Tak,yashodharatak57@gmail.com,+91-782394227,2026-06-26 05:30 PM,CANCELLED,Looking for urgent possession.,2026-07-21 06:47:13
VST1020,PROP1332,OWN1251,Michael Dutta,michaeldutta24@gmail.com,+91-851273847,2026-08-07 11:30 AM,CONFIRMED,Looking for urgent possession.,2026-07-21 06:47:58
VST1021,PROP1970,OWN1041,Lekha Raj,lekharaj72@gmail.com,+91-781498611,2026-07-26 11:30 AM,CONFIRMED,Requested callback prior to arrival.,2026-07-21 06:48:04
VST1022,PROP1970,OWN1282,Advay Contractor,advaycontractor43@gmail.com,+91-991415657,2026-07-31 04:00 PM,CANCELLED,Looking for urgent possession.,2026-07-21 06:48:12
VST1023,PROP1774,OWN1103,Harini Choudhury,harinichoudhury49@outlook.com,+91-897225156,2026-07-08 02:00 PM,PENDING,Looking for urgent possession.,2026-07-21 06:47:26
VST1024,PROP1463,OWN1062,Adya Tella,adyatella38@gmail.com,+91-755377076,2026-08-05 10:00 AM,PENDING,Wants to check parking space and metro distance.,2026-07-21 06:48:08
VST1025,PROP1603,OWN1113,Chanchal Tripathi,chanchaltripathi19@gmail.com,+91-994705205,2026-07-27 10:00 AM,CONFIRMED,Interested in weekend morning visit.,2026-07-21 06:47:26
VST1026,PROP1881,OWN1170,Aadi Naik,aadinaik75@gmail.com,+91-747376585,2026-07-20 06:30 PM,PENDING,Looking for urgent possession.,2026-07-21 06:47:21
VST1027,PROP1136,OWN1293,Damyanti Khatri,damyantikhatri70@outlook.com,+91-773481353,2026-06-24 04:00 PM,CONFIRMED,Interested in weekend morning visit.,2026-07-21 06:48:53
VST1028,PROP1675,OWN1221,Frederick Sunder,fredericksunder64@yahoo.co.in,+91-872682989,2026-08-08 06:30 PM,CONFIRMED,Needs confirmation from owner regarding pets.,2026-07-21 06:49:05
VST1029,PROP1662,OWN1051,Kabir Soman,kabirsoman61@gmail.com,+91-955540424,2026-08-16 10:00 AM,CONFIRMED,Wants to check parking space and metro distance.,2026-07-21 06:47:27
VST1030,PROP1550,OWN1230,Siddharth Zacharia,siddharthzacharia64@gmail.com,+91-747385696,2026-08-05 04:00 PM,CONFIRMED,Interested in weekend morning visit.,2026-07-21 06:48:30
VST1031,PROP1454,OWN1282,Mohini Prakash,mohiniprakash16@gmail.com,+91-982556484,2026-07-17 10:00 AM,CANCELLED,Wants to check parking space and metro distance.,2026-07-21 06:48:10
VST1032,PROP1171,OWN1209,Yug Kar,yugkar71@yahoo.co.in,+91-763826716,2026-06-24 10:00 AM,CONFIRMED,Interested in weekend morning visit.,2026-07-21 06:47:10
VST1033,PROP1400,OWN1136,Thomas Amble,thomasamble46@yahoo.co.in,+91-884593961,2026-06-25 06:30 PM,COMPLETED,Wants to check parking space and metro distance.,2026-07-21 06:48:23
VST1034,PROP1195,OWN1152,Ekansh Balay,ekanshbalay17@gmail.com,+91-982772208,2026-08-11 10:00 AM,COMPLETED,Interested in weekend morning visit.,2026-07-21 06:47:16
VST1035,PROP1052,OWN1300,Arya Sunder,aryasunder74@yahoo.co.in,+91-931130263,2026-07-03 10:00 AM,CANCELLED,Interested in weekend morning visit.,2026-07-21 06:47:23
VST1036,PROP1872,OWN1096,Xavier Solanki,xaviersolanki86@gmail.com,+91-741568532,2026-08-08 04:00 PM,CONFIRMED,Looking for urgent possession.,2026-07-21 06:47:30
VST1037,PROP1253,OWN1297,Raagini Pandya,raaginipandya15@outlook.com,+91-921003626,2026-07-16 04:00 PM,COMPLETED,Looking for urgent possession.,2026-07-21 06:48:04
VST1038,PROP1536,OWN1162,Guneet Bhat,guneetbhat36@yahoo.co.in,+91-952169044,2026-07-15 11:30 AM,CONFIRMED,Wants to check parking space and metro distance.,2026-07-21 06:47:48
VST1039,PROP1688,OWN1154,Yuvraj Handa,yuvrajhanda50@yahoo.co.in,+91-711250299,2026-07-02 04:00 PM,COMPLETED,Looking for urgent possession.,2026-07-21 06:48:01
VST1040,PROP1103,OWN1038,Qadim Mallick,qadimmallick37@outlook.com,+91-945594597,2026-07-18 11:30 AM,CANCELLED,Interested in weekend morning visit.,2026-07-21 06:48:52
VST1041,PROP1901,OWN1126,Saanvi Chaudhari,saanvichaudhari46@yahoo.co.in,+91-768812137,2026-06-24 05:30 PM,COMPLETED,Looking for urgent possession.,2026-07-21 06:49:07
VST1042,PROP1827,OWN1271,Girik Khalsa,girikkhalsa95@gmail.com,+91-950181935,2026-06-30 06:30 PM,CONFIRMED,Wants to check parking space and metro distance.,2026-07-21 06:48:06
VST1043,PROP1271,OWN1060,Nandini Bhargava,nandinibhargava80@gmail.com,+91-746553958,2026-06-30 02:00 PM,COMPLETED,Needs confirmation from owner regarding pets.,2026-07-21 06:47:08
VST1044,PROP1352,OWN1105,Alka Sha,alkasha91@outlook.com,+91-877834855,2026-07-08 04:00 PM,CONFIRMED,Interested in weekend morning visit.,2026-07-21 06:48:31
VST1045,PROP1095,OWN1217,Mohammed Gupta,mohammedgupta15@yahoo.co.in,+91-754769200,2026-07-08 11:30 AM,COMPLETED,Visiting with family.,2026-07-21 06:49:04
VST1046,PROP1166,OWN1227,Dipta Bhandari,diptabhandari64@outlook.com,+91-911297845,2026-06-24 10:00 AM,CONFIRMED,Needs confirmation from owner regarding pets.,2026-07-21 06:48:05
VST1047,PROP1926,OWN1077,Dakshesh Trivedi,daksheshtrivedi14@outlook.com,+91-888183110,2026-06-25 05:30 PM,CONFIRMED,Wants to check parking space and metro distance.,2026-07-21 06:47:30
VST1048,PROP1043,OWN1158,Wahab Raval,wahabraval15@yahoo.co.in,+91-838195995,2026-06-28 06:30 PM,CONFIRMED,Interested in weekend morning visit.,2026-07-21 06:48:54
VST1049,PROP1363,OWN1287,Balveer Bumb,balveerbumb89@yahoo.co.in,+91-930743797,2026-07-16 11:30 AM,COMPLETED,Wants to check parking space and metro distance.,2026-07-21 06:48:18
VST1050,PROP1903,OWN1212,Advika Jayaraman,advikajayaraman32@gmail.com,+91-954585178,2026-07-31 04:00 PM,COMPLETED,Needs confirmation from owner regarding pets.,2026-07-21 06:47:45
VST1051,PROP1831,OWN1128,Meghana Deep,meghanadeep30@yahoo.co.in,+91-924508349,2026-07-31 04:00 PM,COMPLETED,Requested callback prior to arrival.,2026-07-21 06:47:43
VST1052,PROP1228,OWN1103,Elijah Andra,elijahandra54@yahoo.co.in,+91-840547349,2026-07-18 11:30 AM,CONFIRMED,Wants to check parking space and metro distance.,2026-07-21 06:49:07
VST1053,PROP1409,OWN1169,Ethan Yogi,ethanyogi18@yahoo.co.in,+91-857130035,2026-07-03 06:30 PM,PENDING,Needs confirmation from owner regarding pets.,2026-07-21 06:47:39
VST1054,PROP1864,OWN1275,Ekapad Konda,ekapadkonda13@yahoo.co.in,+91-745059710,2026-07-13 11:30 AM,PENDING,Visiting with family.,2026-07-21 06:47:26
VST1055,PROP1040,OWN1056,Abhiram Mistry,abhirammistry65@outlook.com,+91-852101056,2026-08-15 04:00 PM,COMPLETED,Looking for urgent possession.,2026-07-21 06:47:20
VST1056,PROP1119,OWN1198,Aishani D’Alia,aishanidalia34@outlook.com,+91-815957459,2026-08-13 06:30 PM,PENDING,Looking for urgent possession.,2026-07-21 06:48:37
VST1057,PROP1948,OWN1276,Anita Manda,anitamanda95@outlook.com,+91-758884978,2026-07-27 04:00 PM,CONFIRMED,Needs confirmation from owner regarding pets.,2026-07-21 06:48:34
VST1058,PROP1943,OWN1170,Aishani Tiwari,aishanitiwari50@outlook.com,+91-926726926,2026-07-20 06:30 PM,CANCELLED,Looking for urgent possession.,2026-07-21 06:48:56
VST1059,PROP1317,OWN1210,George Sampath,georgesampath61@yahoo.co.in,+91-949682169,2026-08-09 05:30 PM,CONFIRMED,Requested callback prior to arrival.,2026-07-21 06:47:13
VST1060,PROP1681,OWN1195,Kalpit Lala,kalpitlala32@outlook.com,+91-986384014,2026-06-30 02:00 PM,PENDING,Interested in weekend morning visit.,2026-07-21 06:48:01
VST1061,PROP1312,OWN1147,Aditya Choudhury,adityachoudhury65@gmail.com,+91-991424737,2026-06-25 06:30 PM,CONFIRMED,Requested callback prior to arrival.,2026-07-21 06:48:53
VST1062,PROP1453,OWN1110,Balendra Pingle,balendrapingle70@outlook.com,+91-932775593,2026-07-25 06:30 PM,CONFIRMED,Looking for urgent possession.,2026-07-21 06:47:25
VST1063,PROP1680,OWN1172,Benjamin Morar,benjaminmorar40@gmail.com,+91-951663795,2026-07-12 11:30 AM,COMPLETED,Wants to check parking space and metro distance.,2026-07-21 06:48:59
VST1064,PROP1026,OWN1024,Ishita Kade,ishitakade70@gmail.com,+91-919774839,2026-07-31 04:00 PM,PENDING,Needs confirmation from owner regarding pets.,2026-07-21 06:48:28
VST1065,PROP1590,OWN1100,Niharika Dubey,niharikadubey99@outlook.com,+91-876354180,2026-08-15 04:00 PM,CONFIRMED,Needs confirmation from owner regarding pets.,2026-07-21 06:47:36
VST1066,PROP1705,OWN1003,Peter Sachar,petersachar64@gmail.com,+91-733607110,2026-06-22 06:30 PM,PENDING,Interested in weekend morning visit.,2026-07-21 06:48:36
VST1067,PROP1571,OWN1128,Nisha Kothari,nishakothari68@gmail.com,+91-772363359,2026-07-07 06:30 PM,PENDING,Looking for urgent possession.,2026-07-21 06:48:42
VST1068,PROP1610,OWN1163,Lavanya Barad,lavanyabarad88@yahoo.co.in,+91-977750178,2026-08-11 04:00 PM,COMPLETED,Looking for urgent possession.,2026-07-21 06:47:34
VST1069,PROP1457,OWN1082,Inaya Mody,inayamody70@outlook.com,+91-844788100,2026-08-09 11:30 AM,COMPLETED,Visiting with family.,2026-07-21 06:48:52
VST1070,PROP1785,OWN1267,Arjun Hans,arjunhans90@yahoo.co.in,+91-746855845,2026-07-14 04:00 PM,CONFIRMED,Visiting with family.,2026-07-21 06:47:41
VST1071,PROP1241,OWN1140,Arya Panchal,aryapanchal50@yahoo.co.in,+91-920814950,2026-07-29 11:30 AM,CONFIRMED,Requested callback prior to arrival.,2026-07-21 06:47:55
VST1072,PROP1711,OWN1079,Ayaan D’Alia,ayaandalia37@outlook.com,+91-765682626,2026-08-12 04:00 PM,CONFIRMED,Requested callback prior to arrival.,2026-07-21 06:47:39
VST1073,PROP1426,OWN1032,Balvan Chopra,balvanchopra63@gmail.com,+91-888393811,2026-07-26 06:30 PM,CONFIRMED,Looking for urgent possession.,2026-07-21 06:47:49
VST1074,PROP1390,OWN1245,Rajata Vaidya,rajatavaidya55@gmail.com,+91-862343121,2026-06-27 04:00 PM,PENDING,Needs confirmation from owner regarding pets.,2026-07-21 06:48:55
VST1075,PROP1560,OWN1113,Aachal Basu,aachalbasu38@yahoo.co.in,+91-868496914,2026-08-02 04:00 PM,CONFIRMED,Visiting with family.,2026-07-21 06:47:08
VST1076,PROP1685,OWN1208,Januja Sankar,janujasankar31@outlook.com,+91-827129912,2026-06-25 05:30 PM,PENDING,Requested callback prior to arrival.,2026-07-21 06:48:27
VST1077,PROP1607,OWN1289,Dipta Dash,diptadash13@outlook.com,+91-796268397,2026-08-03 04:00 PM,CONFIRMED,Requested callback prior to arrival.,2026-07-21 06:47:44
VST1078,PROP1187,OWN1026,Nilima Narain,nilimanarain58@yahoo.co.in,+91-838408562,2026-07-15 04:00 PM,CONFIRMED,Requested callback prior to arrival.,2026-07-21 06:47:43
VST1079,PROP1285,OWN1216,Rehaan Salvi,rehaansalvi20@yahoo.co.in,+91-812601580,2026-07-30 06:30 PM,PENDING,Visiting with family.,2026-07-21 06:47:53
VST1080,PROP1230,OWN1036,Charvi Ravi,charviravi15@outlook.com,+91-743189803,2026-07-23 11:30 AM,COMPLETED,Looking for urgent possession.,2026-07-21 06:47:08
VST1081,PROP1157,OWN1123,Shivansh Sani,shivanshsani70@gmail.com,+91-925353091,2026-08-07 05:30 PM,CANCELLED,Requested callback prior to arrival.,2026-07-21 06:48:20
VST1082,PROP1717,OWN1132,Udyati Sathe,udyatisathe31@yahoo.co.in,+91-991503378,2026-07-17 06:30 PM,COMPLETED,Wants to check parking space and metro distance.,2026-07-21 06:47:33
VST1083,PROP1988,OWN1160,Omkaar Chad,omkaarchad84@gmail.com,+91-751870192,2026-07-08 05:30 PM,COMPLETED,Requested callback prior to arrival.,2026-07-21 06:48:27
VST1084,PROP1407,OWN1102,Girik Keer,girikkeer85@gmail.com,+91-994187049,2026-07-31 11:30 AM,CONFIRMED,Visiting with family.,2026-07-21 06:47:34
VST1085,PROP1871,OWN1062,Manan Bakshi,mananbakshi15@outlook.com,+91-881503856,2026-06-23 04:00 PM,COMPLETED,Interested in weekend morning visit.,2026-07-21 06:49:06
VST1086,PROP1519,OWN1175,Tamanna Sachdeva,tamannasachdeva63@gmail.com,+91-824165187,2026-08-13 04:00 PM,CANCELLED,Needs confirmation from owner regarding pets.,2026-07-21 06:48:17
VST1087,PROP1913,OWN1236,Warda Ratta,wardaratta29@outlook.com,+91-833640702,2026-07-05 06:30 PM,PENDING,Needs confirmation from owner regarding pets.,2026-07-21 06:48:26
VST1088,PROP1277,OWN1276,Hredhaan Sandal,hredhaansandal69@yahoo.co.in,+91-889520597,2026-07-04 02:00 PM,CONFIRMED,Wants to check parking space and metro distance.,2026-07-21 06:48:44
VST1089,PROP1851,OWN1045,Chandresh Krish,chandreshkrish67@yahoo.co.in,+91-772372114,2026-08-15 05:30 PM,COMPLETED,Requested callback prior to arrival.,2026-07-21 06:47:22
VST1090,PROP1345,OWN1015,Ucchal Wali,ucchalwali51@yahoo.co.in,+91-775437844,2026-08-19 11:30 AM,PENDING,Visiting with family.,2026-07-21 06:48:19
VST1091,PROP1349,OWN1144,Yamini Sandhu,yaminisandhu99@outlook.com,+91-884597009,2026-08-09 10:00 AM,PENDING,Wants to check parking space and metro distance.,2026-07-21 06:48:13
VST1092,PROP1088,OWN1124,Vaishnavi Sengupta,vaishnavisengupta62@outlook.com,+91-884514489,2026-07-06 11:30 AM,COMPLETED,Needs confirmation from owner regarding pets.,2026-07-21 06:47:37
VST1093,PROP1729,OWN1252,Vedhika Khare,vedhikakhare12@yahoo.co.in,+91-749491631,2026-07-07 11:30 AM,PENDING,Wants to check parking space and metro distance.,2026-07-21 06:47:17
VST1094,PROP1314,OWN1298,Wahab Magar,wahabmagar70@yahoo.co.in,+91-981259135,2026-07-11 02:00 PM,PENDING,Needs confirmation from owner regarding pets.,2026-07-21 06:48:55
VST1095,PROP1564,OWN1170,Lakshit Dora,lakshitdora99@yahoo.co.in,+91-846361787,2026-07-04 02:00 PM,CONFIRMED,Interested in weekend morning visit.,2026-07-21 06:48:31
VST1096,PROP1739,OWN1099,Devansh Sachdeva,devanshsachdeva25@yahoo.co.in,+91-981922443,2026-07-15 06:30 PM,CONFIRMED,Wants to check parking space and metro distance.,2026-07-21 06:48:13
VST1097,PROP1757,OWN1248,David Jhaveri,davidjhaveri85@yahoo.co.in,+91-990099897,2026-08-09 02:00 PM,CANCELLED,Wants to check parking space and metro distance.,2026-07-21 06:47:54
VST1098,PROP1304,OWN1117,Lajita Sood,lajitasood32@yahoo.co.in,+91-811898961,2026-06-21 06:30 PM,PENDING,Visiting with family.,2026-07-21 06:47:50
VST1099,PROP1047,OWN1028,Oni Yohannan,oniyohannan47@outlook.com,+91-926948946,2026-08-04 06:30 PM,COMPLETED,Requested callback prior to arrival.,2026-07-21 06:48:13
VST1100,PROP1106,OWN1007,Vinaya Kanda,vinayakanda46@outlook.com,+91-874251933,2026-07-07 04:00 PM,CONFIRMED,Interested in weekend morning visit.,2026-07-21 06:48:06
VST1101,PROP1259,OWN1245,Gayathri Ravel,gayathriravel18@gmail.com,+91-876001106,2026-08-03 10:00 AM,PENDING,Needs confirmation from owner regarding pets.,2026-07-21 06:48:48
VST1102,PROP1055,OWN1078,Avi Ramesh,aviramesh82@gmail.com,+91-821432787,2026-07-26 11:30 AM,CONFIRMED,Requested callback prior to arrival.,2026-07-21 06:48:27
VST1103,PROP1621,OWN1116,Priya Deshmukh,priyadeshmukh58@outlook.com,+91-869421007,2026-08-12 02:00 PM,COMPLETED,Requested callback prior to arrival.,2026-07-21 06:47:29
VST1104,PROP1313,OWN1292,Ladli Narang,ladlinarang17@outlook.com,+91-923318904,2026-07-03 11:30 AM,COMPLETED,Visiting with family.,2026-07-21 06:47:47
VST1105,PROP1677,OWN1042,Arunima Sama,arunimasama40@gmail.com,+91-784087145,2026-07-06 10:00 AM,CONFIRMED,Requested callback prior to arrival.,2026-07-21 06:47:17
VST1106,PROP1462,OWN1241,Charles Palla,charlespalla14@yahoo.co.in,+91-748668783,2026-07-04 06:30 PM,CONFIRMED,Requested callback prior to arrival.,2026-07-21 06:47:16
VST1107,PROP1073,OWN1120,Azaan Kota,azaankota90@yahoo.co.in,+91-998742485,2026-07-02 11:30 AM,PENDING,Looking for urgent possession.,2026-07-21 06:47:10
VST1108,PROP1231,OWN1077,William Date,williamdate28@yahoo.co.in,+91-718004482,2026-07-19 11:30 AM,COMPLETED,Looking for urgent possession.,2026-07-21 06:47:21
VST1109,PROP1767,OWN1292,Udyati Kunda,udyatikunda66@yahoo.co.in,+91-772907576,2026-08-06 06:30 PM,CONFIRMED,Requested callback prior to arrival.,2026-07-21 06:47:28
VST1110,PROP1966,OWN1140,Nihal Mukhopadhyay,nihalmukhopadhyay79@outlook.com,+91-868755000,2026-06-27 10:00 AM,PENDING,Requested callback prior to arrival.,2026-07-21 06:47:11
VST1111,PROP1753,OWN1166,Keya Ranganathan,keyaranganathan42@outlook.com,+91-722257687,2026-08-16 11:30 AM,CANCELLED,Looking for urgent possession.,2026-07-21 06:47:31
VST1112,PROP1602,OWN1011,Harsh Mitra,harshmitra44@outlook.com,+91-915399803,2026-08-11 11:30 AM,PENDING,Needs confirmation from owner regarding pets.,2026-07-21 06:48:20
VST1113,PROP1453,OWN1143,Benjamin Palan,benjaminpalan84@gmail.com,+91-895199362,2026-07-22 04:00 PM,CANCELLED,Requested callback prior to arrival.,2026-07-21 06:48:27
VST1114,PROP1357,OWN1210,Yashawini Om,yashawiniom51@yahoo.co.in,+91-924039158,2026-06-21 11:30 AM,CONFIRMED,Needs confirmation from owner regarding pets.,2026-07-21 06:47:58
VST1115,PROP1508,OWN1148,Hitesh Sant,hiteshsant61@outlook.com,+91-914925405,2026-08-17 04:00 PM,CONFIRMED,Visiting with family.,2026-07-21 06:48:24
VST1116,PROP1332,OWN1060,Michael Saran,michaelsaran75@yahoo.co.in,+91-798269682,2026-07-01 05:30 PM,PENDING,Interested in weekend morning visit.,2026-07-21 06:48:10
VST1117,PROP1193,OWN1266,Veda Shroff,vedashroff89@yahoo.co.in,+91-893940940,2026-07-17 04:00 PM,COMPLETED,Wants to check parking space and metro distance.,2026-07-21 06:48:35
VST1118,PROP1274,OWN1282,Ekantika Korpal,ekantikakorpal46@gmail.com,+91-875056916,2026-08-09 10:00 AM,CONFIRMED,Needs confirmation from owner regarding pets.,2026-07-21 06:47:18
VST1119,PROP1624,OWN1123,Yagnesh Shetty,yagneshshetty30@outlook.com,+91-883932360,2026-07-25 10:00 AM,PENDING,Interested in weekend morning visit.,2026-07-21 06:48:28
VST1120,PROP1231,OWN1059,Ayush Talwar,ayushtalwar25@yahoo.co.in,+91-930665654,2026-08-11 04:00 PM,CANCELLED,Visiting with family.,2026-07-21 06:47:29
VST1121,PROP1522,OWN1140,Isha Kuruvilla,ishakuruvilla71@yahoo.co.in,+91-842713008,2026-07-11 04:00 PM,PENDING,Requested callback prior to arrival.,2026-07-21 06:48:53
VST1122,PROP1196,OWN1261,Advaith Varughese,advaithvarughese27@outlook.com,+91-747077298,2026-08-16 04:00 PM,CONFIRMED,Looking for urgent possession.,2026-07-21 06:47:18
VST1123,PROP1274,OWN1002,Vrinda Khosla,vrindakhosla48@yahoo.co.in,+91-987835998,2026-08-01 06:30 PM,PENDING,Wants to check parking space and metro distance.,2026-07-21 06:48:25
VST1124,PROP1458,OWN1276,Sara Badal,sarabadal54@yahoo.co.in,+91-884077101,2026-06-26 05:30 PM,PENDING,Visiting with family.,2026-07-21 06:47:34
VST1125,PROP1891,OWN1097,Damini Pillay,daminipillay40@outlook.com,+91-961401477,2026-07-19 11:30 AM,COMPLETED,Requested callback prior to arrival.,2026-07-21 06:48:11
VST1126,PROP1045,OWN1163,Ganga Pandey,gangapandey70@outlook.com,+91-961167978,2026-08-02 04:00 PM,CANCELLED,Needs confirmation from owner regarding pets.,2026-07-21 06:47:40
VST1127,PROP1156,OWN1254,Vihaan Dara,vihaandara26@gmail.com,+91-989212676,2026-08-03 02:00 PM,COMPLETED,Requested callback prior to arrival.,2026-07-21 06:47:45
VST1128,PROP1103,OWN1270,Rehaan Kalita,rehaankalita11@yahoo.co.in,+91-929348212,2026-08-04 04:00 PM,COMPLETED,Wants to check parking space and metro distance.,2026-07-21 06:47:41
VST1129,PROP1077,OWN1241,Harish Hari,harishhari53@yahoo.co.in,+91-963349308,2026-07-08 06:30 PM,CONFIRMED,Visiting with family.,2026-07-21 06:47:51
VST1130,PROP1873,OWN1274,Akshay Walla,akshaywalla50@yahoo.co.in,+91-975491202,2026-06-28 05:30 PM,CONFIRMED,Interested in weekend morning visit.,2026-07-21 06:47:13
VST1131,PROP1241,OWN1148,Brinda Date,brindadate21@gmail.com,+91-823212812,2026-07-29 06:30 PM,COMPLETED,Interested in weekend morning visit.,2026-07-21 06:48:38
VST1132,PROP1455,OWN1086,Advik Mane,advikmane48@outlook.com,+91-716172803,2026-07-19 02:00 PM,COMPLETED,Visiting with family.,2026-07-21 06:48:00
VST1133,PROP1368,OWN1192,Charan Krishnan,charankrishnan28@yahoo.co.in,+91-781291936,2026-08-16 04:00 PM,PENDING,Wants to check parking space and metro distance.,2026-07-21 06:48:05
VST1134,PROP1175,OWN1090,Nandini Swamy,nandiniswamy88@gmail.com,+91-893176117,2026-06-25 06:30 PM,CONFIRMED,Looking for urgent possession.,2026-07-21 06:48:23
VST1135,PROP1147,OWN1119,Max Dixit,maxdixit91@yahoo.co.in,+91-871682508,2026-08-08 02:00 PM,COMPLETED,Requested callback prior to arrival.,2026-07-21 06:49:01
VST1136,PROP1923,OWN1148,Yuvraj Dani,yuvrajdani79@outlook.com,+91-719913576,2026-07-24 04:00 PM,CANCELLED,Looking for urgent possession.,2026-07-21 06:47:57
VST1137,PROP1307,OWN1218,Lajita Seshadri,lajitaseshadri42@outlook.com,+91-850550084,2026-08-14 11:30 AM,CANCELLED,Requested callback prior to arrival.,2026-07-21 06:47:43
VST1138,PROP1110,OWN1122,Dalaja Bhasin,dalajabhasin83@yahoo.co.in,+91-887149951,2026-07-27 02:00 PM,CANCELLED,Visiting with family.,2026-07-21 06:48:36
VST1139,PROP1023,OWN1203,Siddharth Lalla,siddharthlalla11@yahoo.co.in,+91-916582607,2026-07-30 05:30 PM,COMPLETED,Visiting with family.,2026-07-21 06:47:26
VST1140,PROP1795,OWN1118,Falan Dugar,falandugar55@outlook.com,+91-795445405,2026-06-21 11:30 AM,COMPLETED,Needs confirmation from owner regarding pets.,2026-07-21 06:48:02
VST1141,PROP1774,OWN1071,Bishakha Bali,bishakhabali22@outlook.com,+91-996750368,2026-07-04 10:00 AM,CONFIRMED,Requested callback prior to arrival.,2026-07-21 06:48:32
VST1142,PROP1035,OWN1297,Ekavir Kaur,ekavirkaur26@yahoo.co.in,+91-749609054,2026-08-15 02:00 PM,COMPLETED,Wants to check parking space and metro distance.,2026-07-21 06:48:42
VST1143,PROP1206,OWN1068,Pavani Contractor,pavanicontractor56@outlook.com,+91-977349752,2026-07-23 02:00 PM,COMPLETED,Visiting with family.,2026-07-21 06:48:25
VST1144,PROP1936,OWN1247,Lucky Bora,luckybora53@yahoo.co.in,+91-772858374,2026-06-24 10:00 AM,CONFIRMED,Wants to check parking space and metro distance.,2026-07-21 06:48:43
VST1145,PROP1881,OWN1204,Reva Dash,revadash56@outlook.com,+91-762958901,2026-07-19 10:00 AM,CONFIRMED,Interested in weekend morning visit.,2026-07-21 06:47:44
VST1146,PROP1466,OWN1189,Anita Tella,anitatella96@outlook.com,+91-888458327,2026-07-23 04:00 PM,COMPLETED,Visiting with family.,2026-07-21 06:48:00
